meas_y,meas_x,estimated_y,estimated_x
-7.39,1.46,12.33,1.92
-7.43,1.45,12.29,1.92
-7.47,1.43,12.25,1.92
-7.51,1.42,12.21,1.92
-7.55,1.4,12.17,1.92
-7.59,1.39,12.13,1.92
-7.63,1.37,12.09,1.92
-7.71,1.36,12.06,1.92
-7.75,1.34,12.02,1.92
-7.79,1.33,11.98,1.92
-7.83,1.31,11.94,1.92
-7.87,1.29,11.9,1.92
-7.91,1.27,11.86,1.92
-7.94,1.25,11.82,1.92
-7.98,1.23,11.78,1.92
-8.02,1.22,11.74,1.92
-8.06,1.2,11.7,1.92
-8.1,1.18,11.66,1.92
-8.14,1.16,11.62,1.92
-8.18,1.14,11.58,1.92
-8.22,1.12,11.54,1.92
-8.26,1.1,11.5,1.92
-8.3,1.08,11.46,1.92
-8.34,1.06,11.42,1.92
-8.38,1.04,11.38,1.92
-8.42,1.02,11.34,1.92
-8.46,1,11.3,1.92
-8.54,0.98,11.26,1.92
-8.58,0.95,11.23,1.92
-8.62,0.93,11.19,1.92
-8.66,0.91,11.15,1.92
-8.7,0.89,11.11,1.92
-8.74,0.86,11.07,1.92
-8.77,0.84,11.03,1.92
-8.81,0.82,10.99,1.92
-8.85,0.8,10.95,1.92
-8.89,0.79,10.91,1.92
-8.93,0.77,10.87,1.92
-8.97,0.75,10.83,1.92
-9.01,0.73,10.79,1.92
-9.05,0.71,10.75,1.92
-9.09,0.7,10.71,1.92
-9.13,0.68,10.67,1.92
-9.17,0.67,10.63,1.92
-9.21,0.65,10.59,1.92
-9.25,0.64,10.55,1.92
-9.29,0.63,10.51,1.92
-9.33,0.62,10.47,1.92
-9.37,0.61,10.43,1.92
-9.45,0.6,10.4,1.92
-9.49,0.59,10.36,1.92
-9.53,0.58,10.32,1.92
-9.57,0.57,10.28,1.92
-9.6,0.56,10.24,1.92
-9.64,0.56,10.2,1.92
-9.68,0.55,10.16,1.92
-9.72,0.54,10.12,1.92
-9.76,0.53,10.08,1.92
-9.8,0.52,10.04,1.92
-9.84,0.51,10,1.92
-9.88,0.51,9.96,1.92
-9.92,0.5,9.92,1.92
-9.96,0.5,9.88,1.92
-10,0.49,9.84,1.92
-10.04,0.49,9.8,1.92
-10.08,0.49,9.76,1.92
-10.12,0.49,9.72,1.92
-10.16,0.5,9.68,1.92
-10.2,0.5,9.64,1.92
-10.24,0.51,9.6,1.92
-10.28,0.52,9.57,1.92
-10.36,0.53,9.53,1.92
-10.36,0.54,9.49,1.92
-10.43,0.56,9.45,1.92
-10.47,0.57,9.41,1.92
-10.51,0.59,9.37,1.92
-10.55,0.61,9.33,1.92
-10.59,0.64,9.29,1.92
-10.63,0.66,9.25,1.92
-10.67,0.69,9.21,1.92
-10.71,0.72,9.17,1.92
-10.75,0.75,9.13,1.92
-10.79,0.78,9.09,1.92
-10.83,0.8,9.05,1.92
-10.87,0.82,9.01,1.92
-10.91,0.84,8.97,1.92
-10.95,0.87,8.93,1.92
-10.99,0.89,8.89,1.92
-11.03,0.91,8.85,1.92
-11.07,0.92,8.81,1.92
-11.11,0.94,8.77,1.92
-11.15,0.95,8.74,1.92
-11.19,0.97,8.7,1.92
-11.23,0.98,8.66,1.92
-11.26,1,8.62,1.92
-11.3,1.01,8.58,1.92
-11.34,1.02,8.54,1.92
-11.38,1.03,8.5,1.92
-11.42,1.04,8.46,1.92
-11.46,1.04,8.42,1.92
-11.5,1.04,8.38,1.92
-11.58,1.04,8.34,1.92
-11.62,1.03,8.3,1.92
-11.66,1.03,8.26,1.92
-11.7,1.01,8.22,1.92
-11.74,1,8.18,1.92
-11.78,0.98,8.14,1.92
-11.82,0.97,8.1,1.92
-11.86,0.95,8.06,1.92
-11.9,0.94,8.02,1.92
-11.94,0.92,7.98,1.92
-11.98,0.9,7.94,1.92
-12.02,0.88,7.91,1.92
-12.06,0.86,7.87,1.92
-12.09,0.84,7.83,1.92
-12.13,0.83,7.79,1.92
-12.17,0.81,7.75,1.92
-12.21,0.79,7.71,1.92
-12.29,0.77,7.67,1.92
-12.33,0.75,7.63,1.92
-12.37,0.73,7.59,1.92
-12.41,0.71,7.55,1.92
-12.45,0.69,7.51,1.92
-12.49,0.68,7.47,1.92
-12.53,0.66,7.43,1.92
-12.57,0.65,7.39,1.92
-12.61,0.64,7.35,1.92
-12.65,0.62,7.31,1.92
-12.69,0.61,7.27,1.92
-12.73,0.6,7.23,1.92
-12.77,0.59,7.19,1.92
-12.81,0.58,7.15,1.92
-12.85,0.57,7.11,1.92
-12.89,0.56,7.08,1.92
-12.96,0.55,7.04,1.92
-13,0.54,7,1.92
-13.04,0.54,6.96,1.92
-13.08,0.53,6.92,1.92
-13.12,0.52,6.88,1.92
-13.16,0.52,6.84,1.92
-13.2,0.51,6.8,1.92
-13.24,0.51,6.76,1.92
-13.28,0.51,6.72,1.92
-13.32,0.51,6.68,1.92
-13.36,0.51,6.64,1.92
-13.4,0.51,6.6,1.92
-13.44,0.51,6.56,1.92
-13.48,0.52,6.52,1.92
-13.52,0.52,6.48,1.92
-13.56,0.53,6.44,1.92
-13.6,0.54,6.4,1.92
-13.64,0.54,6.36,1.92
-13.68,0.55,6.32,1.92
-13.72,0.56,6.28,1.92
-13.75,0.56,6.25,1.92
-13.79,0.57,6.21,1.92
-13.83,0.58,6.17,1.92
-13.87,0.6,6.13,1.92
-13.91,0.61,6.09,1.92
-13.95,0.63,6.05,1.92
-13.99,0.64,6.01,1.92
-14.03,0.65,5.97,1.92
-14.07,0.67,5.93,1.92
-14.11,0.68,5.89,1.92
-14.15,0.69,5.85,1.92
-14.19,0.7,5.81,1.92
-14.27,0.72,5.77,1.92
-14.31,0.73,5.73,1.92
-14.35,0.74,5.69,1.92
-14.39,0.76,5.65,1.92
-14.43,0.77,5.61,1.92
-14.47,0.78,5.57,1.92
-14.51,0.79,5.53,1.92
-14.55,0.8,5.49,1.92
-14.58,0.81,5.45,1.92
-14.62,0.81,5.42,1.92
-14.66,0.82,5.38,1.92
-14.7,0.82,5.34,1.92
-14.74,0.82,5.3,1.92
-14.78,0.82,5.26,1.92
-14.82,0.82,5.22,1.92
-14.86,0.82,5.18,1.92
-14.9,0.82,5.14,1.92
-14.94,0.82,5.1,1.92
-14.98,0.81,5.06,1.92
-15.02,0.8,5.02,1.92
-15.06,0.79,4.98,1.92
-15.14,0.78,4.94,1.92
-15.18,0.77,4.9,1.92
-15.22,0.76,4.86,1.92
-15.26,0.75,4.82,1.92
-15.3,0.74,4.78,1.92
-15.34,0.73,4.74,1.92
-15.38,0.72,4.7,1.92
-15.42,0.7,4.66,1.92
-15.45,0.69,4.62,1.92
-15.49,0.67,4.58,1.92
-15.53,0.66,4.55,1.92
-15.57,0.64,4.51,1.92
-15.61,0.63,4.47,1.92
-15.65,0.62,4.43,1.92
-15.73,0.61,4.39,1.92
-15.77,0.59,4.35,1.92
-15.81,0.58,4.31,1.92
-15.85,0.57,4.27,1.92
-15.89,0.56,4.23,1.92
-15.93,0.55,4.19,1.92
-15.97,0.54,4.15,1.92
-16.01,0.53,4.11,1.92
-16.05,0.52,4.07,1.92
-16.09,0.51,4.03,1.92
-16.13,0.5,3.99,1.92
-16.17,0.5,3.95,1.92
-16.21,0.49,3.91,1.92
-16.25,0.48,3.87,1.92
-16.28,0.48,3.83,1.92
-16.36,0.47,3.79,1.92
-16.4,0.47,3.75,1.92
-16.44,0.47,3.72,1.92
-16.48,0.48,3.68,1.92
-16.52,0.48,3.64,1.92
-16.56,0.48,3.6,1.92
-16.6,0.49,3.56,1.92
-16.64,0.49,3.52,1.92
-16.68,0.5,3.48,1.92
